led,t,deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
0,3700,50,0.02,0.02,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,-0.00
0,3750,50,0.00,0.00,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,3800,50,0.00,0.03,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.01,-0.00,-0.00
0,3850,50,0.01,0.03,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,3900,50,0.01,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.01,0.01,0.00
0,3950,50,0.00,0.00,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,4000,50,0.01,0.03,-0.42,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,4050,50,0.00,0.00,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,4100,50,0.00,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,4150,50,0.00,0.02,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,-0.00
0,4200,50,0.00,0.00,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.01,0.00
0,4250,50,0.02,0.01,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.01,-0.01,-0.00
0,4300,50,0.01,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,4350,50,0.02,0.02,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,4400,50,-0.01,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,4450,50,0.01,0.00,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,4500,50,0.01,0.02,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,-0.00
0,4550,50,0.00,0.02,-0.37,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,4600,50,0.00,0.03,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.01,0.00
0,4651,51,0.00,0.01,-0.43,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,4701,50,0.01,0.01,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,4751,50,0.01,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,4801,50,0.00,0.03,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,4851,50,0.00,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,4901,50,0.01,0.03,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,4951,50,0.00,0.03,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,5001,50,0.02,0.02,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,5051,50,0.02,0.01,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,5101,50,0.00,0.01,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,5151,50,0.03,0.02,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,5201,50,-0.01,0.03,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,5251,50,-0.01,0.03,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,0.00
0,5301,50,0.00,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.01,0.00
0,5351,50,-0.01,0.03,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,5401,50,0.00,0.01,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,-0.00
0,5451,50,0.01,0.02,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,-0.00
0,5501,50,0.02,0.02,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,5551,50,0.00,0.05,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,5601,50,0.01,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,5651,50,0.01,0.00,-0.37,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,5701,50,0.00,0.03,-0.36,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,-0.00
0,5751,50,0.00,0.02,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,5801,50,-0.01,0.00,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,5851,50,0.01,0.01,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.01,-0.00,0.00
0,5901,50,0.02,0.03,-0.37,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.01,-0.00
0,5951,50,0.00,0.02,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,6001,50,0.01,0.02,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,6051,50,0.01,0.04,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,6102,51,0.00,0.04,-0.42,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,6152,50,0.02,0.03,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,6202,50,0.01,0.01,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,-0.00
0,6252,50,0.00,0.01,-0.36,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.01,0.00,-0.00
0,6302,50,0.00,0.02,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,6352,50,0.00,0.02,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,6402,50,0.01,0.04,-0.36,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.01,0.00,-0.00
0,6452,50,0.01,0.00,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,6502,50,0.00,0.02,-0.37,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,6552,50,0.00,0.03,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,6602,50,0.01,0.03,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,6652,50,0.00,0.01,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,6702,50,0.02,0.02,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,6752,50,0.01,0.00,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,6802,50,0.01,0.03,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,6852,50,0.00,0.02,-0.43,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,0.00
0,6902,50,0.01,0.01,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,6952,50,0.00,0.01,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,-0.00
0,7002,50,0.01,0.02,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.01,-0.01,0.00
0,7052,50,0.02,0.02,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,7102,50,0.00,0.03,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,7152,50,0.01,0.03,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.01,0.00,-0.00
0,7202,50,0.01,0.13,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,0.00
0,7252,50,-0.02,0.03,-0.36,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.01,0.00,-0.00
0,7302,50,0.00,-0.03,-0.36,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,0.00
0,7352,50,0.07,-0.04,-0.43,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,7402,50,0.04,0.04,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,7452,50,0.03,0.00,-0.43,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,7502,50,-0.01,0.00,-0.42,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,7552,50,0.01,0.00,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,7602,50,0.01,-0.01,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,7652,50,0.01,0.03,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,7702,50,0.00,0.04,-0.37,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,7752,50,-0.01,0.01,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,7802,50,0.02,0.00,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,7852,50,0.02,0.03,-0.42,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,7902,50,0.01,0.01,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.01,0.00,0.00
0,7952,50,0.00,0.01,-0.37,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,8002,50,0.00,0.01,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.01,0.00,-0.00
0,8052,50,0.00,0.02,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.01,0.00
0,8102,50,0.00,-0.01,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,8152,50,0.02,0.00,-0.36,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,8202,50,0.00,0.02,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,8252,50,0.01,0.03,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,8302,50,0.01,0.02,-0.37,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,8352,50,0.01,0.02,-0.42,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.01,0.00
0,8402,50,0.01,0.03,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,8452,50,0.00,0.03,-0.42,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,-0.00
0,8502,50,0.01,0.02,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,8552,50,0.00,0.01,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,8602,50,0.00,0.00,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,8652,50,0.00,0.03,-0.43,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.01,0.00
0,8702,50,0.01,0.03,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.01,0.00
0,8752,50,0.00,0.02,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,-0.00
0,8802,50,0.06,0.03,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,0.00
0,8852,50,-0.02,0.00,-0.43,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,-0.00
0,8902,50,0.01,0.07,-0.42,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,8952,50,0.01,0.03,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,9003,51,0.02,0.00,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,9053,50,0.00,0.00,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,9103,50,0.00,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,-0.00
0,9153,50,0.00,0.04,-0.37,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,-0.00
0,9203,50,0.00,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,0.00
0,9253,50,0.01,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.01,-0.00,-0.00
0,9303,50,0.00,-0.02,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,0.00
0,9353,50,0.01,0.01,-0.41,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,9403,50,0.00,0.02,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,9453,50,0.00,0.01,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,9503,50,0.01,0.00,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,0.00
0,9553,50,0.00,0.04,-0.38,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
