deltat,AcX,AcY,AcZ,GyX,GyY,GyZ,
24,-10916,-7468,12248,-4080,8,6064,
21,-10580,-7840,13456,-4096,498,5461,
20,-10320,-8120,14416,-4048,-780,3513,
21,-12428,-7992,12828,-4080,-720,1324,
20,-12272,-8272,12880,-4064,966,1365,
22,-10996,-8472,14128,-4096,6,544,
20,-10776,-8372,14028,-4096,-1968,-1678,
21,-10820,-8132,12904,-4064,-988,-1935,
20,-9680,-8008,13500,-4080,174,-3931,
21,-10656,-7412,12456,-4048,-1076,-5590,
20,-10836,-7084,10960,-4096,-1154,-4428,
22,-9264,-7060,11944,-4064,-634,-4231,
20,-8736,-6952,11532,-4064,-1340,-4437,
24,-9204,-6580,10356,-4080,-1249,-3282,
20,-7776,-6840,10760,-4096,-201,-2148,
21,-8876,-6568,11104,-4064,-1199,-3162,
20,-9716,-6468,9072,-4064,-369,35,
23,-8056,-7116,10824,-4112,1111,554,
21,-8856,-7280,11272,-4064,-443,726,
21,-9336,-7572,10716,-4064,78,1770,
22,-9068,-7980,11580,-4080,731,2712,
21,-9396,-8116,11628,-4080,373,1441,
20,-9680,-8112,12040,-4080,1188,2387,
20,-9952,-8220,11900,-4080,107,1846,
21,-10060,-8380,12120,-4096,-625,1930,
21,-10240,-8148,12572,-4064,39,1703,
24,-9800,-8160,12808,-4064,294,331,
21,-9688,-7992,12988,-4064,602,-797,
20,-9596,-7812,12700,-4064,221,-1771,
20,-10020,-7416,12100,-4064,-47,-2420,
21,-9952,-7176,11884,-4064,-461,-2251,
20,-8992,-7084,12272,-4064,35,-2309,
22,-8612,-7044,11604,-4064,1176,-4004,
20,-9108,-6908,11580,-4064,234,-3324,
21,-8404,-6988,10700,-4096,-432,-1473,
20,-7532,-6932,11112,-4096,920,-1789,
21,-8276,-6804,11432,-4064,-402,-1334,
20,-8928,-6712,10044,-4064,-547,284,
21,-8780,-6712,10692,-4064,-228,2202,
24,-8112,-6820,11816,-4096,-157,2242,
21,-9140,-6884,11352,-4064,-186,2219,
20,-9112,-7036,11760,-4080,328,3254,
21,-9268,-7128,12116,-4080,-111,3087,
20,-9868,-7280,12420,-4080,-369,2533,
21,-9816,-7456,12384,-4080,275,2950,
21,-9008,-7596,13060,-4048,691,1719,
21,-9768,-7540,13308,-4080,-669,106,
21,-10492,-7428,12536,-4112,-906,291,
22,-10064,-7392,12804,-4096,57,-1009,
20,-9392,-7588,13600,-4096,639,-1950,
21,-10664,-7220,11716,-4064,-777,-3022,
20,-9552,-7408,11780,-4112,1230,-1876,
21,-8676,-7628,12832,-4080,509,-3873,
23,-8836,-7652,10312,-4064,1224,-3286,
22,-6904,-7788,11468,-4064,1647,-2649,
20,-7088,-7672,12096,-4080,-1711,-2904,
21,-9376,-6636,9720,-4080,-2190,-1224,
20,-9648,-6708,10288,-4064,80,1030,
21,-8128,-6920,11284,-4096,657,2931,
21,-8464,-6720,11096,-4064,-54,2262,
21,-8880,-6836,11808,-4096,-648,4313,
20,-7952,-7244,12672,-4064,-223,3842,
21,-9608,-7348,11740,-4064,981,2581,
20,-9064,-7448,13260,-4064,2135,3267,
21,-11056,-7400,12996,-4080,-1083,1240,
20,-11104,-7656,12392,-4048,-177,3813,
25,-10596,-7764,14860,-4048,-2037,3015,
20,-9804,-7688,14368,-4064,-676,1739,
21,-10060,-7592,15112,-4080,-49,-824,
20,-10568,-7264,15012,-4032,-1141,-3287,
21,-11040,-6876,13612,-4048,-1546,-4838,
20,-10960,-6732,13380,-4096,-1112,-5659,
21,-9872,-6420,13136,-4064,-555,-6647,
20,-9108,-6456,12456,-4080,-191,-8016,
20,-9184,-6228,11132,-4064,1041,-9362,
21,-9544,-6276,10212,-4048,-444,-7276,
20,-9436,-6112,9576,-4096,-1805,-4790,
22,-8084,-6312,10176,-4064,-708,-3757,
23,-8024,-6736,9520,-4080,-309,-2783,
21,-8100,-6928,9008,-4032,1257,-846,
20,-8592,-7144,9488,-4032,193,2108,
21,-8252,-7504,10216,-4048,172,4173,
20,-7960,-7536,11292,-4064,74,4785,
21,-9456,-7620,11352,-4080,-1204,4921,
20,-9552,-7608,11652,-4064,55,6164,
21,-9288,-7736,13172,-4112,650,5751,
20,-10084,-7580,13136,-4064,-624,4811,
21,-10084,-7476,13944,-4048,261,4985,
20,-9368,-7552,15144,-4096,-422,3048,
21,-10096,-7136,14684,-4080,-527,567,
20,-10932,-6844,14256,-4064,-838,-292,
21,-10292,-6636,14020,-4080,-527,-1397,
23,-9728,-6688,14340,-4032,-1208,-3209,
22,-10180,-6344,13044,-4080,-74,-4875,
20,-8880,-6536,13180,-4080,561,-5023,
21,-8556,-6516,12632,-4032,-241,-6352,
20,-9540,-6440,11376,-4064,-696,-5956,
21,-8400,-6616,10560,-4064,712,-3017,
21,-7336,-6936,11484,-4064,805,-4060,
21,-8768,-6664,9932,-4096,-113,-2627,
20,-7560,-7096,10356,-4048,1119,124,
21,-7084,-7364,11396,-4048,70,-225,
20,-8948,-6912,10184,-4080,-1477,1521,
